arcos_all_washpost_shuf5000
REPORTER_DEA_NO,REPORTER_BUS_ACT,REPORTER_NAME,REPORTER_ADDL_CO_INFO,REPORTER_ADDRESS1,REPORTER_ADDRESS2,REPORTER_CITY,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY,BUYER_DEA_NO,BUYER_BUS_ACT,BUYER_NAME,BUYER_ADDL_CO_INFO,BUYER_ADDRESS1,BUYER_ADDRESS2,BUYER_CITY,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,TRANSACTION_CODE,DRUG_CODE,NDC_NO,DRUG_NAME,QUANTITY,UNIT,ACTION_INDICATOR,ORDER_FORM_NO,CORRECTION_NO,STRENGTH,TRANSACTION_DATE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,TRANSACTION_ID,Product_Name,Ingredient_Name,Measure,MME_Conversion_Factor,Combined_Labeler_Name,Revised_Company_Name,Reporter_family,dos_str
RW0269654,DISTRIBUTOR,CARDINAL HEALTH,null,1120 COMMERCE BLVD,null,SWEDESBORO,NJ,8085,GLOUCESTER,AC9103425,CHAIN PHARMACY,"NEW JERSEY CVS PHARMACY, L.L.C.",DBA: CVS/PHARMACY  # 00448,202 KINGS HIGHWAY EAST,null,HADDONFIELD,NJ,8033,CAMDEN,S,9143,406051201,OXYCODONE,12.0,null,null,104606561,null,0,10282010,5.379,1200.0,1010080975,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Cardinal Health,5.0
PF0000012,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,9501 NORWALK BLVD,SANTA FE SPRINGS,CA,90670,LOS ANGELES,BL3280928,RETAIL PHARMACY,LINDA VISTA PHARMCY,null,4300 ROSE DR SUITE D,null,YORBA LINDA,CA,92886,ORANGE,S,9193,591085305,HYDROCODONE,2.0,null,null,null,null,null,5142008,6.054000000000000,1000.0,805038163,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,10.0
RW0204026,DISTRIBUTOR,WALGREEN CO,null,DBA: WALGREEN WAREHOUSE,2370 E MAIN STREET,WOODLAND,CA,95776,YOLO,BW8883907,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 06901,28817 MILITARY ROAD SOUTH,null,FEDERAL WAY,WA,98003,KING,S,9143,406051205,OXYCODONE,3.0,null,null,64820372,null,0,11272006,6.72375,1500.0,152730,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Walgreen Co,5.0
RA0287020,DISTRIBUTOR,ANDA PHARMACEUTICALS INC,null,6500 ADELAIDE COURT,null,GROVEPORT,OH,43125,FRANKLIN,FB1039204,CHAIN PHARMACY,"BI-MART PHARMACY #678, DEER PARK",null,412 S. MAIN AVENUE,P.O. BOX 1589,DEER PARK,WA,99006,SPOKANE,S,9193,406036601,HYDROCODONE,4.0,null,null,null,null,0,3252011,1.8162,400.0,1103028508,HYDROCODONE BIT/ACETA 7.5MG/325MG US,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,"Anda, Inc",7.5
RW0294493,DISTRIBUTOR,WALGREEN CO,null,28727 OREGON ROAD,ATTN: C II MANAGER,PERRYSBURG,OH,43551,WOOD,FW1369176,CHAIN PHARMACY,WALGREEN EASTERN CO INC,DBA: WALGREENS #13710,4345 RTE 9,null,FREEHOLD,NJ,7728,MONMOUTH,S,9143,591093201,OXYCODONE,4.0,null,null,94220193,null,0,2172010,3.5860000000000000,400.0,269130,OXYCODONE.HCL/APAP 10MG/325MG TABS,OXYCODONE HYDROCHLORIDE,TAB,1.5,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,10.0
RW0263549,DISTRIBUTOR,CARDINAL HEALTH,null,4875 FLORENCE STREET,null,DENVER,CO,80238,DENVER,BP5068704,RETAIL PHARMACY,PEOPLE'S PHARMACY,null,255 UNION BLVD,SUITE 100,LAKEWOOD,CO,80228,JEFFERSON,S,9193,406035705,HYDROCODONE,1.0,null,null,null,null,0,5242006,1.5135,500.0,605015475,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Cardinal Health,5.0
RW0308216,DISTRIBUTOR,WALGREEN CO,null,DBA: WALGREENS,17500 PERRIS BLVD,MORENO VALLEY,CA,92551,RIVERSIDE,BW6053502,CHAIN PHARMACY,WALGREEN ARIZONA DRUG CO.,DBA: WALGREENS # 04422,3945 E SOUTHERN AVE,null,PHOENIX,AZ,85040,MARICOPA,S,9193,591085305,HYDROCODONE,1.0,null,null,null,null,0,7092008,3.0270000000000000,500.0,6861,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,10.0
PM0124723,DISTRIBUTOR,CVS PHARMACY INC,null,"150 INDUSTRIAL DR., WRHS #2",null,NORTH SMITHFIELD,RI,2896,PROVIDENCE,BB2330506,CHAIN PHARMACY,"CVS ALBANY, L.L.C.",DBA: CVS/PHARMACY  # 05035,1204 EASTERN AVE,null,SCHENECTADY,NY,12308,SCHENECTADY,S,9193,603388821,HYDROCODONE,2.0,null,null,null,null,null,12052006,1.2108,200.0,40512,HYDROCODONE.BIT & ACETA  10MG & 500M,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",CVS,10.0
RA0290938,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,null,19220 64TH AVENUE SOUTH,null,KENT,WA,98032,KING,AM1605801,RETAIL PHARMACY,MEDICINE MAN PHARMACY INC,null,1114 IRONWOOD DRIVE,null,COEUR D ALENE,ID,83814,KOOTENAI,S,9143,406051205,OXYCODONE,1.0,null,null,102022008,null,null,7202010,2.24125,500.0,7737,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,AmerisourceBergen Drug,5.0
RW0277752,DISTRIBUTOR,WALGREEN CO,null,15998 WALGREENS DRIVE,null,JUPITER,FL,33478,PALM BEACH,BW6658883,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 04075,100 NW PARK STREET,null,OKEECHOBEE,FL,34972,OKEECHOBEE,S,9143,52152021402,OXYCODONE,7.0,null,null,81124119,null,0,4252008,9.41325,700.0,67235,OXYCODONE HYDROCHLORIDE TABLETS USP,OXYCODONE HYDROCHLORIDE,TAB,1.5,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,15.0
PM0018425,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,14500 E 39TH AVE,AURORA,CO,80011,ADAMS,BT7964085,CHAIN PHARMACY,TARGET STORES A DIV.OF TARGET CORP.,TARGET STORE T-1501,ATTN: PHARMACY,3810 BLOOMINTON STREET,COLORADO SPRINGS,CO,80922,EL PASO,S,9143,60951060270,OXYCODONE,5.0,null,null,70710051,null,null,4302007,2.241,500.0,704024123,ENDOCET OXYCODO HCL5MG&AC TAB,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",McKesson Corporation,5.0
RM0220599,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,520 E NORTH AVE,CAROL STREAM,IL,60188,DUPAGE,BS9776141,CHAIN PHARMACY,SHOPKO PHARMACY #2127,null,1450 EAST GENEVA ST.,null,DELAVAN,WI,53115,WALWORTH,S,9143,406853001,OXYCODONE,2.0,null,null,91395274,null,null,4292009,5.379,200.0,904016999,OXYCODONE HYDROCHLORIDE 30MG TABLET,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,McKesson Corporation,30.0
RR0236073,DISTRIBUTOR,RITE AID MID-ATLANTIC,null,CUSTOMER SUPPORT CENTER,601 CHELSEA ROAD,ABERDEEN,MD,21001,HARFORD,BR3109231,CHAIN PHARMACY,"RITE AID OF KENTUCKY, INC.",RITE AID #3208,205 WEST G L SMITH STREET,null,MORGANTOWN,KY,42261,BUTLER,S,9193,603388421,HYDROCODONE,7.0,null,null,null,null,null,6232011,3.17835,700.0,37669,HYDROCODO.BIT 7.5MG TAB,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",Rite Aid,7.5
RW0191419,DISTRIBUTOR,CARDINAL HEALTH,null,955 WEST 3100 SOUTH,null,SOUTH SALT LAKE CITY,UT,84119,SALT LAKE,BK3392103,CHAIN PHARMACY,KMART PHARMACY,null,3180 HIGHWAY #2 WEST,null,HAVRE,MT,59501,HILL,S,9143,406851501,OXYCODONE,2.0,null,null,73013295,null,0,4082008,2.6895,200.0,804007890,OXYCODONE HYDROCHLORIDE 15MG TABLETS,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Cardinal Health,15.0
RW0294493,DISTRIBUTOR,WALGREEN CO,null,28727 OREGON ROAD,ATTN: C II MANAGER,PERRYSBURG,OH,43551,WOOD,BW4514015,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 03202,7202 NORTH 30TH STREET,null,OMAHA,NE,68112,DOUGLAS,S,9143,591074905,OXYCODONE,1.0,null,null,123781671,null,null,10092012,2.24125,500.0,84251,OXYCODONE HYDROCHLORIDE 5MG&ACETAMIN,OXYCODONE HYDROCHLORIDE,TAB,1.5,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,5.0
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BS6116378,CHAIN PHARMACY,SUPER FRESH PHARMACY #855,null,3301 NORTH RIDGE ROAD,null,ELLICOTT CITY,MD,21043,HOWARD,S,9193,406035801,HYDROCODONE,1.0,null,null,null,null,null,3072011,0.45405,100.0,1103011789,HYDROCODONE BIT/ACETA 7.5MG/500MG US,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,McKesson Corporation,7.5
RW0308216,DISTRIBUTOR,WALGREEN CO,null,DBA: WALGREENS,17500 PERRIS BLVD,MORENO VALLEY,CA,92551,RIVERSIDE,BW7703615,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 06061,1241 W FOOTHILL BLVD,null,UPLAND,CA,91786,SAN BERNARDINO,S,9193,591320301,HYDROCODONE,1.0,null,null,null,null,0,1242011,0.45405,100.0,11532,HYDROCODONE BITARTRATE AND ACETA 7.5,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,7.5
RW0263549,DISTRIBUTOR,CARDINAL HEALTH,null,4875 FLORENCE STREET,null,DENVER,CO,80238,DENVER,BK6354055,CHAIN PHARMACY,KING SOOPERS PHARMACY,null,3570 HARTSEL DR,null,COLORADO SPRINGS,CO,80920,EL PASO,S,9143,406051201,OXYCODONE,10.0,null,null,103820473,null,0,10212010,4.4825,1000.0,1010016181,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Cardinal Health,5.0
PM0018425,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,14500 E 39TH AVE,AURORA,CO,80011,ADAMS,BS8543856,CHAIN PHARMACY,SAFEWAY INC,SAFEWAY PHARMACY #2667,700 S GREELEY HWY,null,CHEYENNE,WY,82007,LARAMIE,S,9143,228287811,OXYCODONE,2.0,null,null,116339499,null,null,12162011,2.6895,200.0,1112003192,"OXYCODONE HCL 15MG TABLETS, 100 CT",OXYCODONE HYDROCHLORIDE,TAB,1.5,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,15.0
PK0070297,DISTRIBUTOR,KINRAY INC,null,152-35 10TH AVE.,null,WHITESTONE,NY,11357,QUEENS,BS3037377,RETAIL PHARMACY,SHEEFA PHARMACY,null,1040 MAIN STREET,null,PATERSON,NJ,7503,PASSAIC,S,9193,603388828,HYDROCODONE,1.0,null,null,null,null,null,1072010,3.0270000000000000,500.0,54376,HYDROCODONE.BIT & ACETA  10MG & 500M,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",Kinray Inc,10.0
RA0316958,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORPORATION,null,501 PATRIOT PARKWAY,null,ROANOKE,TX,76262,DENTON,BL9550903,RETAIL PHARMACY,LITTLE ELM PHARMACY,null,"800 W ELDORADO PKWY, STE 100",null,LITTLE ELM,TX,75068,DENTON,S,9143,59011041020,OXYCODONE,1.0,null,null,12X000333,null,null,10312012,0.1793,20.0,6566,OXYCONTIN 10MG OXYCODONE HCL CR TABL,OXYCODONE HYDROCHLORIDE,TAB,1.5,Purdue Pharma LP,Purdue Pharma LP,AmerisourceBergen Drug,10.0
RT0223874,DISTRIBUTOR,THRIFTY PAYLESS INC,null,DBA WOODLAND DISTRIBUTION CTR,1755 EAST BEAMER STREET,WOODLAND,CA,95776,YOLO,BT5165697,CHAIN PHARMACY,THRIFTY PAYLESS INC.,RITE AID #5244,18906 STATE ROUTE 2,null,MONROE,WA,98272,SNOHOMISH,S,9193,603388128,HYDROCODONE,4.0,null,null,null,null,null,6222012,6.054000000000000,2000.0,13351,HYDROCODONE.BIT. & ACETA  5MG & 500M,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",Thrifty Payless Inc,5.0
RP0286218,DISTRIBUTOR,PHARMACY BUYING ASSOCIATION,null,1825 NW VIVION ROAD,null,RIVERSIDE,MO,64150,PLATTE,BG6247743,RETAIL PHARMACY,GREAT OAK PHARMACY,null,7275 N OAK TRFWY,null,KANSAS CITY,MO,64118,CLAY,S,9193,53746010901,HYDROCODONE,3.0,null,null,null,null,null,6072010,0.9081,300.0,5205,HYDROCODONE BIT./ACETAMINOPHEN TABS.,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Amneal Pharmaceuticals LLC,"Amneal Pharmaceuticals, Inc.",Pharmacy Buying Association,5.0
RA0129937,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,null,100 FRIARS BLVD,null,THOROFARE,NJ,8086,GLOUCESTER,BR3850624,RETAIL PHARMACY,RXDN,null,2522 PEARL BUCK RD,UNIT D,BRISTOL,PA,19007,BUCKS,S,9143,60951071270,OXYCODONE,6.0,null,null,80986741,null,null,7022008,5.379,600.0,17784,ENDOCET - 10MG OXYCODONE.HCL/325MG A,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",AmerisourceBergen Drug,10.0
RW0308216,DISTRIBUTOR,WALGREEN CO,null,DBA: WALGREENS,17500 PERRIS BLVD,MORENO VALLEY,CA,92551,RIVERSIDE,BW6650344,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 05183,1107 W 6TH STREET,null,CORONA,CA,92882,RIVERSIDE,S,9193,591038705,HYDROCODONE,1.0,null,null,null,null,null,9262011,2.27025,500.0,8147,HYDROCODONE BITARTRATE 7.5MG/ACETAMI,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,7.5
RA0314562,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,null,6305 LASALLE DR,null,LOCKBOURNE,OH,43137,FRANKLIN,BF9322443,CHAIN PHARMACY,FOOD CITY PHARMACY #475,null,2138 S MAYO TRAIL,null,PIKEVILLE,KY,41501,PIKE,S,9143,60951079770,OXYCODONE,3.0,null,null,65193509,null,null,12222006,2.6895,300.0,80570,ENDOCET TABS - 10MG OXYCODONE.HCL &,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",AmerisourceBergen Drug,10.0
PN0033857,DISTRIBUTOR,N C MUTUAL WHOLESALE DRUG CO,null,816 ELLIS RD,null,DURHAM,NC,27703,DURHAM,FF1330579,RETAIL PHARMACY,FAMILYCARE SPECIALTY PHARMACY,FCRX INC,4922 ALBEMARLE ROAD,null,CHARLOTTE,NC,28205,MECKLENBURG,S,9143,406851501,OXYCODONE,6.0,null,null,11X176012,null,null,3192011,8.0685,600.0,19618,OXYCODONE HYDROCHLORIDE 15MG TABLETS,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,N C Mutual Wholesale Drug Co,15.0
PW0186785,DISTRIBUTOR,WAL-MART PHARM WAREHOUSE #1,null,2252 NORTH 8TH STREET,null,ROGERS,AR,72756,BENTON,AW2030500,CHAIN PHARMACY,WAL-MART PHARMACY 10-0071,null,1415 HWY 67 SOUTH,null,POCAHONTAS,AR,72455,RANDOLPH,S,9193,406035905,HYDROCODONE,1.0,null,null,null,null,null,8152011,2.27025,500.0,1108006427,HYDROCODONE BITARTRATE 7.5MG & ACETA,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Wal-Mart,7.5
RW0186278,DISTRIBUTOR,WAL-MART WAREHOUSE #32,null,13231 11TH AVENUE,null,HANFORD,CA,93230,KINGS,BS7738985,CHAIN PHARMACY,SAM'S PHARMACY 10-6433,null,1500 HELEN POWER DRIVE,null,VACAVILLE,CA,95687,SOLANO,S,9193,406036701,HYDROCODONE,3.0,null,null,null,null,null,3092007,1.8162,300.0,703017007,HYDROCODONE BIT/ACETA 10MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Wal-Mart,10.0
RD0108200,DISTRIBUTOR,CARDINAL HEALTH,null,11 CENTENNIAL DRIVE,null,PEABODY,MA,1960,ESSEX,BS2620741,CHAIN PHARMACY,"HANNAFORD BROS. CO., LLC",DBA HANNAFORD SUPERMARKET & PHARMACY #8123,STE 1 225 HIGH ST,null,ELLSWORTH,ME,4605,HANCOCK,S,9143,59011083010,OXYCODONE,1.0,null,null,75952218,null,0,2292008,2.6895,100.0,802073044,OXYCONTIN 30MG COTROLLED RELEASE OXY,OXYCODONE HYDROCHLORIDE,TAB,1.5,Purdue Pharma LP,Purdue Pharma LP,Cardinal Health,30.0
PM0021131,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,495 S. 107TH,TOLLESON,AZ,85353,MARICOPA,BJ3140201,CHAIN PHARMACY,ALBERTSONS LLC,SAV-ON DRUGS #938,7101 WYOMING NE,null,ALBUQUERQUE,NM,87109,BERNALILLO,S,9193,406036501,HYDROCODONE,2.0,null,null,null,null,null,2222012,0.6054,200.0,1202010540,HYDROCODONE BIT/ACETA 5MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,McKesson Corporation,5.0
RA0322824,DISTRIBUTOR,AMERISOURCEBERGEN DRUG,null,1001 WEST TAYLOR ROAD,null,ROMEOVILLE,IL,60446,WILL,BA4296403,RETAIL PHARMACY,"AURORA PHARMACY, INC",null,DBA AURORA PHARMACY,"W231 N1440 CORPORATE COURT, SUITE 101",WAUKESHA,WI,53186,WAUKESHA,S,9193,53746014501,HYDROCODONE,1.0,null,null,null,null,null,6202010,0.45405,100.0,37421,HYDROCODONE/IBUPROFEN 7.5MG/200MG TA,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Amneal Pharmaceuticals LLC,"Amneal Pharmaceuticals, Inc.",AmerisourceBergen Drug,7.5
PM0021535,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,3775 SEAPORT BLVD,WEST SACRAMENTO,CA,95691,YOLO,BS0845149,CHAIN PHARMACY,SAFEWAY INC,SAFEWAY PHARMACY #0956,1799 MARLOW ROAD,null,SANTA ROSA,CA,95401,SONOMA,S,9193,591320201,HYDROCODONE,1.0,null,null,null,null,null,9182006,0.3027,100.0,609021055,HYDROCODONE BITARTRATE AND ACETA 5MG,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,5.0
RC0221236,DISTRIBUTOR,CARDINAL HEALTH,null,1240 GLUCKSTADT ROAD,null,MADISON,MS,39110,MADISON,BW9223570,CHAIN PHARMACY,"WINN DIXIE STORES, INC",HARVEYS SUPERMARKET #1694,201 W 48TH ST,null,JACKSONVILLE,FL,32208,DUVAL,S,9193,406035701,HYDROCODONE,3.0,null,null,null,null,0,5282008,0.9081,300.0,805078581,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Cardinal Health,5.0
RP0331924,DISTRIBUTOR,"PUBLIX SUPER MARKETS, INC.",null,1950 SAND LAKE RD.,BLDG 3,ORLANDO,FL,32809,ORANGE,BP7678812,CHAIN PHARMACY,PUBLIX SUPER MARKETS INC,null,PUBLIX PHARMACY #0826,1631 DEL PRADO BLVD. SOUTH,CAPE CORAL,FL,33990,LEE,S,9193,603389021,HYDROCODONE,1.0,null,null,null,null,null,11102011,0.3027,100.0,14701,HYDROCODONE BITARTRATE 5MG/ACETAMINO,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.","Publix Super Markets, Inc.",5.0
RO0153609,DISTRIBUTOR,CARDINAL HEALTH,null,71 MIL-ACRES DR,null,WHEELING,WV,26003,OHIO,AF7015351,RETAIL PHARMACY,FRUTH PHARMACY OF OHIO INC,FRUTH PHARMACY #3,2991 STATE ROUTE 160,null,GALLIPOLIS,OH,45631,GALLIA,S,9193,591034905,HYDROCODONE,2.0,null,null,null,null,0,1072011,3.0270000000000000,1000.0,1101030342,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Cardinal Health,5.0
RW0243903,DISTRIBUTOR,CARDINAL HEALTH,null,4 CARDINAL HEALTH CT.,null,GREENSBORO,NC,27407,GUILFORD,BC8235649,RETAIL PHARMACY,COLLEGE DISCOUNT DRUG,null,721 MALCOLM BLVD,PO BOX 816,RUTHERFORD COLLEGE,NC,28671,BURKE,S,9193,406036201,HYDROCODONE,1.0,null,null,null,null,0,4292010,0.6054,100.0,1004082466,"HYDROCOD.BIT.& APAP,10MG/660MG/TAB",HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Cardinal Health,10.0
PL0184933,DISTRIBUTOR,LOUISIANA WHOLESALE DRUG CO,null,2085 I-49 SOUTH SERVICE ROAD,null,SUNSET,LA,70584,SAINT LANDRY,BG6029448,RETAIL PHARMACY,GLENN'S FAMILY PHARMACY,null,1615 NORTH MAIN STREET,null,OPELOUSAS,LA,70570,SAINT LANDRY,S,9193,603389121,HYDROCODONE,1.0,null,null,null,null,0,1252011,0.45405,100.0,7804,HYDROCODONE BITARTRATE/ACETA 7.5MG/3,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",Louisiana Wholesale Drug Co,7.5
RW0294493,DISTRIBUTOR,WALGREEN CO,null,28727 OREGON ROAD,ATTN: C II MANAGER,PERRYSBURG,OH,43551,WOOD,BH9875076,CHAIN PHARMACY,HAPPY HARRY'S INC.,DBA: WALGREENS # 11010,CANNERY,3301 LANCASTER PIKE,WILMINGTON,DE,19805,NEW CASTLE,S,9143,59011010510,OXYCODONE,1.0,null,null,81234483,null,0,5192008,3.5860000000000000,100.0,185588,OXYCONTIN - 40MG OXYCODONE.HCL CONTR,OXYCODONE HYDROCHLORIDE,TAB,1.5,Purdue Pharma LP,Purdue Pharma LP,Walgreen Co,40.0
RW0294493,DISTRIBUTOR,WALGREEN CO,null,28727 OREGON ROAD,ATTN: C II MANAGER,PERRYSBURG,OH,43551,WOOD,BW4264216,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 03426,3610 PLAINFIELD AVE NE,null,GRAND RAPIDS,MI,49525,KENT,S,9143,59011046010,OXYCODONE,2.0,null,null,110139224,null,0,2232011,10.758,200.0,69327,OXYCONTIN 60MG OXYCODONE HCL CR TABL,OXYCODONE HYDROCHLORIDE,TAB,1.5,Purdue Pharma LP,Purdue Pharma LP,Walgreen Co,60.0
RC0221236,DISTRIBUTOR,CARDINAL HEALTH,null,1240 GLUCKSTADT ROAD,null,MADISON,MS,39110,MADISON,BR5156775,CHAIN PHARMACY,"ALABAMA CVS PHARMACY, L.L.C.",DBA: CVS/PHARMACY  # 04834,101 AIRPORT RD.,null,JASPER,AL,35501,WALKER,S,9143,59011043010,OXYCODONE,2.0,null,null,112112698,null,0,6092011,5.379,200.0,1106013265,OXYCONTIN 30MG OXYCODONE HCL CR TABL,OXYCODONE HYDROCHLORIDE,TAB,1.5,Purdue Pharma LP,Purdue Pharma LP,Cardinal Health,30.0
RW0186278,DISTRIBUTOR,WAL-MART WAREHOUSE #32,null,13231 11TH AVENUE,null,HANFORD,CA,93230,KINGS,BW4295970,CHAIN PHARMACY,WAL-MART PHARMACY 10-2245,null,705 COLLEGE BLVD,null,OCEANSIDE,CA,92057,SAN DIEGO,S,9193,406036601,HYDROCODONE,1.0,null,null,null,null,null,12032010,0.45405,100.0,1012021915,HYDROCODONE BIT/ACETA 7.5MG/325MG US,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Wal-Mart,7.5
RW0263056,DISTRIBUTOR,CARDINAL HEALTH,null,600 N 83RD AVE,null,TOLLESON,AZ,85353,MARICOPA,BS6961569,CHAIN PHARMACY,SMITHS FOOD & DRUG CENTERS,null,FRYS FOOD & DRUG #622,1935 N. STAPLEY DRIVE,MESA,AZ,85203,MARICOPA,S,9143,406051205,OXYCODONE,3.0,null,null,114127991,null,null,9072011,6.72375,1500.0,1109006338,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Cardinal Health,5.0
RH0347282,DISTRIBUTOR,H. D. SMITH WHOLESALE DRUG,null,6001 GLOBAL DISTRIBUTION WAY,SUITE 102,LOUISVILLE,KY,40228,JEFFERSON,BB8987262,RETAIL PHARMACY,BRODHEAD PHARMACY,null,54 WEST MAIN STREET,PO BOX 527,BRODHEAD,KY,40409,ROCKCASTLE,S,9193,591034905,HYDROCODONE,1.0,null,null,null,null,null,2222010,1.5135,500.0,13069,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",H. D. Smith,5.0
